"code","iso","country","FOR.raw.2000"
446,"MAC","Macao",412.5431647
807,"MKD","Macedonia",781683.1505
450,"MDG","Madagascar",17141085.12
454,"MWI","Malawi",1521821.461
458,"MYS","Malaysia",29421846.89
462,"MDV","Maldives",5823.849728
466,"MLI","Mali",25097.92453
470,"MLT","Malta",124.0173983
584,"MHL","Marshall Islands",NA
474,"MTQ","Martinique",74649.67905
478,"MRT","Mauritania",32.05995656
480,"MUS","Mauritius",71304.81705
175,"MYT","Mayotte",33577.05043
484,"MEX","Mexico",53185271.1
583,"FSM","Micronesia",6171.793639
498,"MDA","Moldova",356011.7297
492,"MCO","Monaco",0.391630013
496,"MNG","Mongolia",4090450.786
499,"MNE","Montenegro",616440.5123
500,"MSR","Montserrat",4582.527251
504,"MAR","Morocco",648568.6233
508,"MOZ","Mozambique",28917947.27
104,"MMR","Myanmar",42859651.12
516,"NAM","Namibia",3833.027588
520,"NRU","Nauru",NA
524,"NPL","Nepal",5161040.905
528,"NLD","Netherlands",593051.6756
530,"ANT","Netherlands Antilles",NA
540,"NCL","New Caledonia",1440330.36
554,"NZL","New Zealand",11282734.44
558,"NIC","Nicaragua",7776806.696
562,"NER","Niger",2.253943819
566,"NGA","Nigeria",10048731.71
570,"NIU","Niue",NA
574,"NFK","Norfolk Island",NA
408,"PRK","North Korea",5196389.536
580,"MNP","Northern Mariana Islands",NA
578,"NOR","Norway",11739520.81
512,"OMN","Oman",0.138516075
586,"PAK","Pakistan",978655.9536
585,"PLW","Palau",41263.38893
591,"PAN","Panama",5700499.758
598,"PNG","Papua New Guinea",42938236.99
600,"PRY","Paraguay",24296866.78
604,"PER","Peru",78069281.29
608,"PHL","Philippines",18599385.9
612,"PCN","Pitcairn",NA
616,"POL","Poland",10461916.81
620,"PRT","Portugal",2302478.37
630,"PRI","Puerto Rico",523696.3361
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",26384045.99
638,"REU","Reunion",170474.5251
642,"ROU","Romania",7915160.707
643,"RUS","Russia",761227258.8
646,"RWA","Rwanda",499795.6193
654,"SHN","Saint Helena",NA
659,"KNA","Saint Kitts and Nevis",13259.95375
662,"LCA","Saint Lucia",50731.18582
666,"SPM","Saint Pierre and Miquelon",5454.071972
670,"VCT","Saint Vincent and the Grenadines",4.8384818515085
882,"WSM","Samoa",NA
674,"SMR","San Marino",829.5404327
678,"STP","Sao Tome and Principe",14213.19005
682,"SAU","Saudi Arabia",0.073168468
686,"SEN","Senegal",39568.21414
688,"SRB","Serbia",2730300.524
690,"SYC","Seychelles",6209.624619
694,"SLE","Sierra Leone",5617878.287
702,"SGP","Singapore",18784.231
534,"SXM","Sint Maarten",1022.179782
703,"SVK","Slovakia",2396813.716
705,"SVN","Slovenia",1293520.847
90,"SLB","Solomon Islands",2741618.244
706,"SOM","Somalia",87128.07479
710,"ZAF","South Africa",5983115.079
410,"KOR","South Korea",5367962.287
728,"SSD","South Sudan",11379433.69
724,"ESP","Spain",11018923.24
144,"LKA","Sri Lanka",3939922.569
275,"PSE","State of Palestine",614.7012849
729,"SDN","Sudan",72712.48415
740,"SUR","Suriname",13949809.34
744,"SJM","Svalbard and Jan Mayen Islands",NA
748,"SWZ","Swaziland",469227.4579
752,"SWE","Sweden",27883713.39
756,"CHE","Switzerland",1544417.501
760,"SYR","Syria",105939.742
158,"TWN","Taiwan",2342175.768
762,"TJK","Tajikistan",60256.64849
834,"TZA","Tanzania",26406464.1
764,"THA","Thailand",19962441.91
626,"TLS","Timor-Leste",726088.2491
768,"TGO","Togo",558803.4372
772,"TKL","Tokelau",NA
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",391844.2062
788,"TUN","Tunisia",223826.6181
792,"TUR","Turkey",10060827.7
795,"TKM","Turkmenistan",10176.93569
796,"TCA","Turks and Caicos Islands",10851.31188
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",7769701.209
804,"UKR","Ukraine",11125320.79
784,"ARE","United Arab Emirates",0
826,"GBR","United Kingdom",3695717.959
840,"USA","United States of America",279376624.2
850,"VIR","United States Virgin Islands",18997.90728
858,"URY","Uruguay",1697322.229
860,"UZB","Uzbekistan",106168.5035
548,"VUT","Vanuatu",1181151.326
862,"VEN","Venezuela",56533525.12
704,"VNM","Viet Nam",16576205.46
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",125.4137132
894,"ZMB","Zambia",24087575.54
716,"ZWE","Zimbabwe",1414326.498
