"code","iso","country","HAD.raw.2000","HAD.raw.2005","HAD.raw.2010","HAD.raw.2016"
320,"GTM","Guatemala",2869.22510614,2341.63932257,1685.84475094,1151.211679
324,"GIN","Guinea",6551.28441584,5907.22454462,5526.89192161,4853.99429487
624,"GNB","Guinea-Bissau",6986.19060094,6458.18667255,6076.8625112,5191.66053143
328,"GUY","Guyana",691.735082293,683.031069445,542.584130479,322.766596825
332,"HTI","Haiti",5670.1478753,5006.02623449,4526.47041289,3783.91326385
336,"VAT","Holy See",NA,NA,NA,NA
340,"HND","Honduras",1971.34356217,1663.4246573,1416.30927353,1094.00401194
344,"HKG","Hong Kong",NA,NA,NA,NA
348,"HUN","Hungary",501.527883021,414.51440511,318.124805489,237.407154776
352,"ISL","Iceland",12.9785708222,8.90461609517,6.13065531086,4.48131540249
356,"IND","India",4457.3496099,3791.99821157,3184.95214337,2224.12948274
360,"IDN","Indonesia",1989.66436632,1959.79397346,1678.33527794,879.275141998
364,"IRN","Iran",70.2003578492,36.5983408937,20.8445449372,11.1124498356
368,"IRQ","Iraq",343.962753497,287.700732774,184.535868682,97.2635323505
372,"IRL","Ireland",30.7594980902,17.4550345503,10.954468604,7.49054447676
833,"IMN","Isle of Man",NA,NA,NA,NA
376,"ISR","Israel",16.4320349065,12.3049860069,8.33495396519,6.1167852179
380,"ITA","Italy",17.8152893371,11.9488590966,8.25174790526,5.89557700698
388,"JAM","Jamaica",391.29287789,287.912233205,241.714850305,176.509015988
392,"JPN","Japan",0.670226078947,0.489966109166,0.341429320891,0.218313140203
400,"JOR","Jordan",5.59348932909,2.90975641721,1.27905289218,0.653810613551
398,"KAZ","Kazakhstan",1436.84305103,1288.5720512,783.056911338,484.17255982
404,"KEN","Kenya",3106.43301789,2811.70651124,2511.15917536,2051.84419526
296,"KIR","Kiribati",5356.66530813,4850.37968797,4642.72721149,4047.92780906
689,"XKX","Kosovo",NA,NA,NA,NA
414,"KWT","Kuwait",83.1555964423,30.0627770754,13.0053306491,5.09283517615
417,"KGZ","Kyrgyzstan",2878.90970058,2583.33533691,1754.24285757,1087.00173453
418,"LAO","Laos",7699.55144522,6590.03740898,5376.26535104,4109.32080073
428,"LVA","Latvia",402.395933305,387.354612951,269.44781454,188.663326272
422,"LBN","Lebanon",0.446901187504,0.211105640077,0.106089937995,0.0573296743004
426,"LSO","Lesotho",4568.21511348,4782.43143311,4342.7959763,3436.59421465
430,"LBR","Liberia",4983.06551198,4014.81464831,3793.11083818,3333.0429947
434,"LBY","Libya",74.3709245168,35.9974363758,15.1040878658,6.33920066945
438,"LIE","Liechtenstein",NA,NA,NA,NA
440,"LTU","Lithuania",43.7920876308,76.1838485412,58.5721345292,42.1391217224
442,"LUX","Luxembourg",15.0119812095,10.5015052113,6.74528957372,4.552060931
446,"MAC","Macao",NA,NA,NA,NA
807,"MKD","Macedonia",1310.97128208,1086.85155617,831.588137679,582.97350051
450,"MDG","Madagascar",6041.48401265,5428.25113057,5187.58563021,4701.89871566
454,"MWI","Malawi",6370.22547177,4902.06103364,4225.74033909,3347.337689
458,"MYS","Malaysia",145.51117935,82.2660178064,45.9000086088,19.9306358173
462,"MDV","Maldives",1606.16944347,569.881232512,216.01973424,101.355538628
466,"MLI","Mali",4551.59087358,3829.91004038,3451.38614958,3028.66339036
470,"MLT","Malta",37.8100244162,24.0312430949,15.6743828963,9.6855877759
584,"MHL","Marshall Islands",2007.21393775,1862.97658144,1504.76865316,984.189102605
474,"MTQ","Martinique",NA,NA,NA,NA
478,"MRT","Mauritania",3479.25275633,2852.84924945,2290.20921336,1795.6277865
480,"MUS","Mauritius",270.223991506,145.134741306,82.3897598189,46.9885079071
175,"MYT","Mayotte",NA,NA,NA,NA
484,"MEX","Mexico",369.33744609,274.530499613,243.296249025,149.248205163
583,"FSM","Micronesia",2810.63899649,2393.79872128,2040.66742505,1534.98786486
498,"MDA","Moldova",1985.2761442,767.975077492,316.208931418,192.963704991
492,"MCO","Monaco",NA,NA,NA,NA
496,"MNG","Mongolia",4826.59501089,4180.09832544,3045.03870096,2142.8863657
499,"MNE","Montenegro",991.493463146,862.720169154,819.224753221,727.938754669
500,"MSR","Montserrat",NA,NA,NA,NA
504,"MAR","Morocco",584.132888544,300.735292082,161.303515469,78.3950986706
508,"MOZ","Mozambique",5112.11959944,4174.98590034,3748.12717952,3131.64396063
104,"MMR","Myanmar",5243.7075383,4399.10062826,3211.87228865,2197.76765538
516,"NAM","Namibia",3781.90434879,3135.36370593,2338.12108798,1622.8362402
520,"NRU","Nauru",NA,NA,NA,NA
524,"NPL","Nepal",4867.7151735,4419.44882478,3752.63763652,2745.51889567
528,"NLD","Netherlands",12.3125919342,8.07952646891,5.13911058054,3.42262025019
530,"ANT","Netherlands Antilles",NA,NA,NA,NA
540,"NCL","New Caledonia",NA,NA,NA,NA
554,"NZL","New Zealand",8.7447921889,8.23028095203,5.82251489958,4.13442240635
558,"NIC","Nicaragua",1253.28083733,1078.42568528,866.005064129,605.261888327
562,"NER","Niger",7072.99999948,6025.86634865,5006.34894179,4508.07365855
566,"NGA","Nigeria",3816.44748597,3102.67763586,2637.18458765,2054.82476406
570,"NIU","Niue",NA,NA,NA,NA
574,"NFK","Norfolk Island",NA,NA,NA,NA
408,"PRK","North Korea",3915.02879645,4015.60781009,3842.62328219,3450.58868153
580,"MNP","Northern Mariana Islands",419.513146623,355.345416828,328.683830617,275.425434179
578,"NOR","Norway",18.7424151009,12.7957966501,8.9787439351,5.81975380664
512,"OMN","Oman",823.850110891,279.444808796,99.1702654385,30.736018317
586,"PAK","Pakistan",4191.64864352,3736.25013868,3346.84827646,2503.27650886
585,"PLW","Palau",NA,NA,NA,NA
591,"PAN","Panama",379.059029799,343.905624643,287.396787828,172.047007133
598,"PNG","Papua New Guinea",8045.26844608,7951.09817768,7641.67196704,6376.41552907
600,"PRY","Paraguay",1298.80718271,1196.44431708,988.070758231,633.345861401
604,"PER","Peru",1093.91639894,901.133632865,707.414365164,446.930545781
608,"PHL","Philippines",2322.12415066,2659.38828181,2751.80130185,2221.59164404
612,"PCN","Pitcairn",NA,NA,NA,NA
616,"POL","Poland",274.81339209,202.021937673,145.747100198,94.0697775893
620,"PRT","Portugal",107.089717708,60.3328541385,32.4896457733,18.1135165238
630,"PRI","Puerto Rico",3.81669725466,2.81925080446,2.17493969632,1.70145926896
634,"QAT","Qatar",0.751499692528,0.509146427306,0.326316991268,0.20104351173
178,"COG","Republic of Congo",4993.77463275,3912.87762655,3140.92450999,2256.71524976
638,"REU","Reunion",NA,NA,NA,NA
642,"ROU","Romania",1186.60039232,844.651216563,556.933991784,347.267932195
643,"RUS","Russia",41.4915473269,113.07263656,52.390410752,19.2181096673
646,"RWA","Rwanda",6445.95319015,4664.57418331,3376.8771724,2841.14711718
654,"SHN","Saint Helena",NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA
662,"LCA","Saint Lucia",313.321713201,215.596026707,111.946156625,64.2113339544
666,"SPM","Saint Pierre and Miquelon",NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",799.508463435,344.417092136,209.97690261,140.691319954
882,"WSM","Samoa",2311.84551133,1983.81961952,1829.01707377,1440.95456229
674,"SMR","San Marino",NA,NA,NA,NA
678,"STP","Sao Tome and Principe",4412.32602102,3728.37759694,2946.12046583,2215.42182995
682,"SAU","Saudi Arabia",659.626219979,211.399955782,62.6164948843,14.3347275533
686,"SEN","Senegal",3836.41558374,3607.33744118,3330.38142446,2828.28427944
688,"SRB","Serbia",1383.49468901,1068.3758235,678.305540122,574.250432736
690,"SYC","Seychelles",136.458650813,88.8649045617,56.6976878999,31.5428965115
694,"SLE","Sierra Leone",7046.26872303,6359.97463156,5770.42093325,4959.45658472
702,"SGP","Singapore",3.75043342092,1.7328135886,0.792516377219,0.386495805922
534,"SXM","Sint Maarten",NA,NA,NA,NA
703,"SVK","Slovakia",123.907204943,98.3500969846,73.2910214864,51.5192734477
705,"SVN","Slovenia",201.495045133,131.402220203,80.1543010565,50.778849311
90,"SLB","Solomon Islands",5987.56158608,6041.77721299,5998.60621009,5162.66756985
706,"SOM","Somalia",7573.13583741,6848.58955114,6341.47857757,5630.67963626
710,"ZAF","South Africa",1782.90824496,1343.82637207,914.718044099,496.630361051
410,"KOR","South Korea",0.620296530106,0.284803184835,0.150595341478,0.0916968650672
728,"SSD","South Sudan",5706.82158945,5149.17582704,4864.02756762,4412.7853769
724,"ESP","Spain",35.1119054354,21.5818419882,13.3069690312,8.93051100458
144,"LKA","Sri Lanka",1748.81545481,1523.31992313,1277.30692198,850.370685191
275,"PSE","State of Palestine",146.249135865,99.2668646519,63.915492591,37.8890001747
729,"SDN","Sudan",4614.73266674,3836.02151441,3038.26963456,2430.2068706
740,"SUR","Suriname",741.886570342,602.17504198,487.611674876,337.647399912
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA,NA
748,"SWZ","Swaziland",4222.87222349,4560.18930089,3052.72605847,1822.17712381
752,"SWE","Sweden",23.3862768754,19.3251263264,15.042303317,12.6260318114
756,"CHE","Switzerland",22.8110636602,18.1694080081,12.9139864927,8.24269650474
760,"SYR","Syria",52.2010688266,22.3668295618,9.62523578997,3.77638580613
158,"TWN","Taiwan",180.450652705,116.884545791,78.2352548633,44.8605187733
762,"TJK","Tajikistan",4622.60807884,2861.03104539,1971.61373027,1615.22482213
834,"TZA","Tanzania",5255.98392963,4535.83086239,3937.01819016,3234.54156647
764,"THA","Thailand",1012.79707117,741.245812177,478.385241801,237.81490484
626,"TLS","Timor-Leste",4703.32138924,3861.21556529,2881.25920495,2355.10324482
768,"TGO","Togo",5221.90300135,4813.47436163,4393.16196121,3756.38322469
772,"TKL","Tokelau",NA,NA,NA,NA
776,"TON","Tonga",2256.54168898,1726.19223357,1411.92353551,1081.87245624
780,"TTO","Trinidad and Tobago",31.1656230106,19.9255144507,13.9494954375,10.6069175859
788,"TUN","Tunisia",179.233408973,60.5908357816,22.2263603197,7.93580831062
792,"TUR","Turkey",359.024762066,147.717522456,65.470117704,24.9509150114
795,"TKM","Turkmenistan",140.828377865,78.9219316029,38.3978436473,18.2965293978
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA
800,"UGA","Uganda",4713.58233933,4176.43887131,3626.90426337,3081.96377086
804,"UKR","Ukraine",390.336568565,410.059580576,195.314925689,135.672552969
784,"ARE","United Arab Emirates",102.602587479,37.0714799705,21.9295960138,13.4644892764
826,"GBR","United Kingdom",32.8107843728,19.5067863571,12.0962538603,8.41400172404
840,"USA","United States of America",4.8830170863,4.28079230268,3.59317806047,3.2820634639
850,"VIR","United States Virgin Islands",45.4386386676,35.5906539248,28.8095811401,21.4808074477
858,"URY","Uruguay",77.8272482776,76.1486949905,52.0094928546,32.5956412139
860,"UZB","Uzbekistan",1682.94359323,1365.71603807,941.355579026,632.154010776
548,"VUT","Vanuatu",6184.75517256,5920.14568639,5415.21571512,4692.89934949
862,"VEN","Venezuela",80.6898281564,50.8376772454,33.1119905604,20.2806841241
704,"VNM","Viet Nam",2420.79949579,1984.77171734,1406.00460589,897.35565394
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA
887,"YEM","Yemen",3520.44023256,2548.02151406,2069.32294008,1522.89165222
894,"ZMB","Zambia",6329.48644492,6034.86746515,4701.01372511,3769.88976708
716,"ZWE","Zimbabwe",3534.02893561,3807.77711397,3677.91127087,2771.92244075
