code,iso,country,WST.raw.2016
380,ITA,Italy,94
388,JAM,Jamaica,0
392,JPN,Japan,75.8
400,JOR,Jordan,30
398,KAZ,Kazakhstan,50
404,KEN,Kenya,10
296,KIR,Kiribati,NA
689,XKX,Kosovo,NA
414,KWT,Kuwait,75
417,KGZ,Kyrgyzstan,10
418,LAO,Laos,0
428,LVA,Latvia,100
422,LBN,Lebanon,NA
426,LSO,Lesotho,5
430,LBR,Liberia,0
434,LBY,Libya,20
438,LIE,Liechtenstein,NA
440,LTU,Lithuania,0
442,LUX,Luxembourg,99.1
446,MAC,Macao,NA
807,MKD,Macedonia,12
450,MDG,Madagascar,0
454,MWI,Malawi,0
458,MYS,Malaysia,61.6
462,MDV,Maldives,NA
466,MLI,Mali,0
470,MLT,Malta,100
584,MHL,Marshall Islands,0
474,MTQ,Martinique,48.2
478,MRT,Mauritania,0
480,MUS,Mauritius,20
175,MYT,Mayotte,NA
484,MEX,Mexico,50.2
583,FSM,Micronesia,NA
498,MDA,Moldova,30
492,MCO,Monaco,100
496,MNG,Mongolia,10
499,MNE,Montenegro,42
500,MSR,Montserrat,NA
504,MAR,Morocco,36.13
508,MOZ,Mozambique,22
104,MMR,Myanmar,0
516,NAM,Namibia,25
520,NRU,Nauru,NA
524,NPL,Nepal,0
528,NLD,Netherlands,99.7
530,ANT,Netherlands Antilles,NA
540,NCL,New Caledonia,NA
554,NZL,New Zealand,82
558,NIC,Nicaragua,0
562,NER,Niger,0
566,NGA,Nigeria,2
570,NIU,Niue,NA
574,NFK,Norfolk Island,NA
408,PRK,North Korea,0
580,MNP,Northern Mariana Islands,82
578,NOR,Norway,81.9
512,OMN,Oman,20
586,PAK,Pakistan,1
585,PLW,Palau,100
591,PAN,Panama,30
598,PNG,Papua New Guinea,0
600,PRY,Paraguay,5
604,PER,Peru,43.2
608,PHL,Philippines,63
612,PCN,Pitcairn,NA
616,POL,Poland,70.3
620,PRT,Portugal,69.6
630,PRI,Puerto Rico,100
634,QAT,Qatar,87.5
178,COG,Republic of Congo,2
638,REU,Reunion,35.9
642,ROU,Romania,48.7
643,RUS,Russia,98.2
646,RWA,Rwanda,0
654,SHN,Saint Helena,NA
659,KNA,Saint Kitts and Nevis,NA
662,LCA,Saint Lucia,NA
666,SPM,Saint Pierre and Miquelon,NA
670,VCT,Saint Vincent and the Grenadines,NA
882,WSM,Samoa,NA
674,SMR,San Marino,NA
678,STP,Sao Tome and Principe,NA
682,SAU,Saudi Arabia,0
686,SEN,Senegal,5
688,SRB,Serbia,4.53
690,SYC,Seychelles,NA
694,SLE,Sierra Leone,0
702,SGP,Singapore,100
534,SXM,Sint Maarten,NA
703,SVK,Slovakia,62.3
705,SVN,Slovenia,55.4
90,SLB,Solomon Islands,0
706,SOM,Somalia,NA
710,ZAF,South Africa,57
410,KOR,South Korea,92.11
728,SSD,South Sudan,NA
724,ESP,Spain,98.25
144,LKA,Sri Lanka,0
275,PSE,State of Palestine,NA
729,SDN,Sudan,0
740,SUR,Suriname,1
744,SJM,Svalbard and Jan Mayen Islands,NA
748,SWZ,Swaziland,5
752,SWE,Sweden,87
756,CHE,Switzerland,98.85
760,SYR,Syria,50
158,TWN,Taiwan,16.2
762,TJK,Tajikistan,5
834,TZA,Tanzania,8
764,THA,Thailand,0
626,TLS,Timor-Leste,5
768,TGO,Togo,0
772,TKL,Tokelau,NA
776,TON,Tonga,NA
780,TTO,Trinidad and Tobago,25.2
788,TUN,Tunisia,0
792,TUR,Turkey,58.27
795,TKM,Turkmenistan,20
796,TCA,Turks and Caicos Islands,NA
798,TUV,Tuvalu,NA
800,UGA,Uganda,7
804,UKR,Ukraine,21.7
784,ARE,United Arab Emirates,93.7
826,GBR,United Kingdom,98.8
840,USA,United States of America,0
850,VIR,United States Virgin Islands,NA
858,URY,Uruguay,5
860,UZB,Uzbekistan,0
548,VUT,Vanuatu,NA
862,VEN,Venezuela,0
704,VNM,Viet Nam,10
876,WLF,Wallis and Futuna Islands,NA
732,ESH,Western Sahara,NA
887,YEM,Yemen,0
894,ZMB,Zambia,15
716,ZWE,Zimbabwe,0
