code,iso,country,CXN.raw.2016
702,SGP,Singapore,100
534,SXM,Sint Maarten,NA
703,SVK,Slovakia,63.6
705,SVN,Slovenia,62.6
90,SLB,Solomon Islands,30
706,SOM,Somalia,NA
710,ZAF,South Africa,57
410,KOR,South Korea,92.11
728,SSD,South Sudan,NA
724,ESP,Spain,99.1
144,LKA,Sri Lanka,2.5
275,PSE,State of Palestine,NA
729,SDN,Sudan,1
740,SUR,Suriname,1
744,SJM,Svalbard and Jan Mayen Islands,NA
748,SWZ,Swaziland,74
752,SWE,Sweden,0
756,CHE,Switzerland,98.15
760,SYR,Syria,96
158,TWN,Taiwan,43.7
762,TJK,Tajikistan,45
834,TZA,Tanzania,18
764,THA,Thailand,0
626,TLS,Timor-Leste,6
768,TGO,Togo,0
772,TKL,Tokelau,NA
776,TON,Tonga,NA
780,TTO,Trinidad and Tobago,27
788,TUN,Tunisia,64.05
792,TUR,Turkey,83.76
795,TKM,Turkmenistan,49
796,TCA,Turks and Caicos Islands,NA
798,TUV,Tuvalu,NA
800,UGA,Uganda,6
804,UKR,Ukraine,65.1
784,ARE,United Arab Emirates,80
826,GBR,United Kingdom,99.54
840,USA,United States of America,74.5
850,VIR,United States Virgin Islands,NA
858,URY,Uruguay,45
860,UZB,Uzbekistan,39
548,VUT,Vanuatu,NA
862,VEN,Venezuela,53
704,VNM,Viet Nam,2
876,WLF,Wallis and Futuna Islands,NA
732,ESH,Western Sahara,NA
887,YEM,Yemen,27.1
894,ZMB,Zambia,28
716,ZWE,Zimbabwe,52
